"longitude","latitude","name_of_facility","location_id (COUNT)"
-77.6245,43.1226,"Strong Memorial Hospital",12
-77.5711,40.5956,"Geisinger Lewistown Hospital",12
-76.9208,40.2392,"Penn State Health Holy Spirit Medical Center",12
-76.8889,40.9639,"Evangelical Community Hospital",12
-74.7676,40.227,"Capital Health Regional Medical Center",12
-74.4223,41.4467,"Orange Regional Medical Center",12
-73.7259,41.1956,"Northern Westchester Hospital",12
-73.7079,40.7534,"Long Island Jewish Medical Center",12
-77.6099,43.1864,"Rochester General Hospital",11
-75.1452,40.0374,"Einstein Medical Center Philadelphia",11
-73.9552,40.7644,"New York-Presbyterian Hospital",11
-73.0659,40.9467,"St. Charles Hospital",11
-75.9588,42.1156,"United Health Services Hospitals",10
-74.4324,39.3642,"AtlantiCare Regional Medical Center",10
-73.8784,40.8802,"Montefiore Medical Center",10
-74.3182,40.7687,"Saint Barnabas Medical Center",9
-73.4265,40.8731,"Huntington Hospital",9
-74.1315,44.3236,"Adirondack Medical Center",8
-75.1932,39.9469,"Children's Hospital of Philadelphia",7
-73.9526,40.79,"Mount Sinai Hospital",7
